region	tik	Число избирателей, включенных в список избирателей	Число избирательных бюллетеней, полученных участковой избирательной комиссией	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	Число погашенных избирательных бюллетеней	Число избирательных бюллетеней в переносных ящиках для голосования	Число бюллетеней в стационарных ящиках для голосования	Число недействительных избирательных бюллетеней	Число действительных избирательных бюллетеней	Число утраченных избирательных бюллетеней	Число избирательных бюллетеней, не учтенных при получении	Даванков Владислав Андреевич	Даванков Владислав Андреевич (%)	Путин Владимир Владимирович	Путин Владимир Владимирович (%)	Слуцкий Леонид Эдуардович	Слуцкий Леонид Эдуардович (%)	Харитонов Николай Михайлович	Харитонов Николай Михайлович (%)
Алтайский край	Алейская	9835	10560	0	4727	3433	2400	3433	4727	78	8082	0	0	167	2.05	7246	88.80	233	2.86	436	5.34
Алтайский край	Алейская городская	16310	15900	0	5486	2097	8317	2097	5486	139	7444	0	0	259	3.42	6434	84.85	272	3.59	479	6.32
Алтайский край	Алтайская	15726	16800	0	6109	3781	6910	3781	6109	168	9722	0	0	309	3.12	8565	86.60	260	2.63	588	5.95
Алтайский край	Баевская	6166	6700	0	2366	1606	2728	1606	2366	44	3928	0	0	85	2.14	3343	84.16	113	2.84	387	9.74
Алтайский край	Барнаул, Вторая Индустриальная	82655	77400	0	35065	2421	39914	2421	35055	908	36568	0	0	2713	7.24	30572	81.58	1308	3.49	1975	5.27
Алтайский край	Барнаул, Железнодорожная	60746	60000	0	24391	4493	31116	4493	24391	775	28109	0	0	2285	7.91	23066	79.86	1028	3.56	1730	5.99
Алтайский край	Барнаул, Ленинская	87090	85156	0	35662	5272	44222	5272	35657	999	39930	0	0	2417	5.91	33648	82.21	1458	3.56	2407	5.88
Алтайский край	Барнаул, Октябрьская	56072	53600	0	23129	4401	26070	4401	23129	723	26807	0	0	1891	6.87	22445	81.53	899	3.27	1572	5.71
Алтайский край	Барнаул, Первая Индустриальная	77191	76600	0	34301	2694	39605	2694	34297	937	36054	0	0	2673	7.23	30001	81.10	1320	3.57	2060	5.57
Алтайский край	Барнаул, Центральная	87254	91500	0	34855	4468	52177	4468	34852	1080	38240	0	0	2953	7.51	31624	80.43	1341	3.41	2322	5.91
Алтайский край	Белокурихинская городская	11016	10600	0	5414	505	4681	505	5414	216	5703	0	0	320	5.41	4834	81.67	173	2.92	376	6.35
Алтайский край	Бийск, Восточная	64382	62350	0	22627	4315	35408	4315	22626	591	26350	0	0	1277	4.74	22330	82.88	889	3.30	1854	6.88
Алтайский край	Бийск, Приобская	66529	64200	0	27442	2504	34254	2504	27441	705	29240	0	0	1441	4.81	24700	82.48	1020	3.41	2079	6.94
Алтайский край	Бийская	21440	25050	0	9228	3150	12672	3150	9228	218	12160	0	0	334	2.70	10731	86.69	352	2.84	743	6.00
Алтайский край	Благовещенская	17555	18950	0	7233	3014	8703	3014	7233	134	10113	0	0	207	2.02	9134	89.14	265	2.59	507	4.95
Алтайский край	Бурлинская	6186	7200	0	2603	1017	3580	1017	2603	73	3547	0	0	103	2.85	3029	83.67	131	3.62	284	7.85
Алтайский край	Быстроистокская	5492	5650	0	1992	1347	2311	1347	1992	53	3286	0	0	88	2.64	2796	83.74	107	3.20	295	8.83
Алтайский край	Волчихинская	11017	10400	0	4589	1581	4230	1581	4589	101	6069	0	0	150	2.43	5210	84.44	263	4.26	446	7.23
Алтайский край	Егорьевская	8153	9280	0	3149	1096	5035	1096	3149	91	4154	0	0	103	2.43	3470	81.74	157	3.70	424	9.99
Алтайский край	Ельцовская	3611	4200	4	1331	915	1950	919	1331	42	2208	0	0	61	2.71	1892	84.09	86	3.82	169	7.51
Алтайский край	Завьяловская	10990	14000	0	5349	3279	5372	3279	5349	140	8488	0	0	173	2.01	7494	86.86	291	3.37	530	6.14
Алтайский край	Залесовская	8858	9300	0	3294	1600	4406	1600	3294	62	4832	0	0	149	3.04	4112	84.02	187	3.82	384	7.85
Алтайский край	Заринская	9383	10350	0	4063	3105	3182	3105	4063	113	7055	0	0	214	2.99	6184	86.27	303	4.23	354	4.94
Алтайский край	Заринская городская	29066	31600	0	12907	1812	16881	1812	12907	312	14407	0	0	627	4.26	12240	83.16	611	4.15	929	6.31
Алтайский край	Змеиногорская 	12455	12990	0	4843	1344	6803	1344	4842	126	6060	0	0	216	3.49	5174	83.64	211	3.41	459	7.42
Алтайский край	Зональная	12173	12800	0	4152	2869	5779	2869	4151	98	6922	0	0	189	2.69	6117	87.14	226	3.22	390	5.56
Алтайский край	Калманская	9015	9500	0	2557	3228	3715	3228	2557	99	5686	0	0	159	2.75	5015	86.69	216	3.73	296	5.12
Алтайский край	Каменская	30490	29600	0	11343	2238	16019	2238	11342	270	13310	0	0	471	3.47	11508	84.74	382	2.81	949	6.99
Алтайский край	Ключевская	9836	12210	0	3817	2271	6122	2271	3817	75	6013	0	0	133	2.18	5373	88.26	133	2.18	374	6.14
Алтайский край	Косихинская	10739	13216	0	3408	2766	7042	2766	3408	108	6066	0	0	176	2.85	5361	86.83	175	2.83	354	5.73
Алтайский край	Красногорская	9684	9500	0	4212	1510	3778	1510	4212	107	5615	0	0	167	2.92	4897	85.58	200	3.50	351	6.13
Алтайский край	Краснощековская	10717	10750	19	4705	3388	2638	3407	4704	120	7991	0	0	145	1.79	7176	88.47	171	2.11	499	6.15
Алтайский край	Крутихинская	6316	7800	0	2233	1876	3691	1876	2233	57	4052	0	0	135	3.29	3611	87.88	124	3.02	182	4.43
Алтайский край	Кулундинская	12503	14130	0	5957	4029	4144	4029	5957	134	9852	0	0	213	2.13	8895	89.07	296	2.96	448	4.49
Алтайский край	Курьинская	6324	7700	0	2490	1469	3741	1469	2490	59	3900	0	0	96	2.42	3362	84.92	142	3.59	300	7.58
Алтайский край	Кытмановская	8172	9700	0	3249	3492	2959	3492	3249	46	6695	0	0	117	1.74	5960	88.41	212	3.14	406	6.02
Алтайский край	Локтевская	14491	16800	0	4874	3121	8805	3121	4874	141	7854	0	0	201	2.51	6872	85.95	250	3.13	531	6.64
Алтайский край	Мамонтовская	13881	12400	0	4908	3249	4243	3249	4908	123	8034	0	0	210	2.57	7051	86.44	232	2.84	541	6.63
Алтайский край	Михайловская	11934	13240	0	4982	2830	5428	2830	4982	98	7714	0	0	242	3.10	6696	85.71	227	2.91	549	7.03
Алтайский край	Немецкая	9028	10500	0	2968	2412	5120	2412	2968	87	5293	0	0	156	2.90	4773	88.72	122	2.27	242	4.50
Алтайский край	Новичихинская	5702	5730	0	2483	1246	2001	1246	2483	49	3680	0	0	89	2.39	3143	84.29	152	4.08	296	7.94
Алтайский край	Новоалтайская городская	49218	49900	0	19175	3788	26937	3788	19174	506	22456	0	0	1107	4.82	19115	83.25	878	3.82	1356	5.91
Алтайский край	Павловская	27157	28550	0	11543	3256	13751	3256	11543	293	14506	0	0	559	3.78	12518	84.59	520	3.51	909	6.14
Алтайский край	Панкрушихинская	7344	8290	0	3061	1968	3261	1968	3061	86	4943	0	0	129	2.57	4281	85.13	177	3.52	356	7.08
Алтайский край	Первомайская	37107	41340	0	15141	4993	21206	4993	15141	446	19688	0	0	811	4.03	16937	84.12	727	3.61	1213	6.02
Алтайский край	Петропавловская	7369	6900	0	3703	1759	1438	1759	3703	78	5384	0	0	127	2.33	4801	87.90	165	3.02	291	5.33
Алтайский край	Поспелихинская	14752	12502	0	5870	2028	4604	2028	5870	153	7745	0	0	220	2.79	6670	84.45	218	2.76	637	8.07
Алтайский край	Ребрихинская 	14454	15460	0	4860	3215	7385	3215	4860	114	7961	0	0	246	3.05	6779	83.95	333	4.12	603	7.47
Алтайский край	Родинская	11629	13800	0	7465	3979	2356	3979	7465	68	11376	0	0	80	0.70	10949	95.67	123	1.07	224	1.96
Алтайский край	Романовская	7905	9150	0	3606	1201	4343	1201	3606	92	4715	0	0	180	3.74	3881	80.74	228	4.74	426	8.86
Алтайский край	Рубцовская	14711	15000	0	5859	5050	4091	5050	5859	189	10720	0	0	288	2.64	9208	84.41	673	6.17	551	5.05
Алтайский край	Рубцовская городская	78757	75500	0	30676	2751	42073	2751	30674	707	32718	0	0	1363	4.08	27793	83.15	1254	3.75	2308	6.91
Алтайский край	Сибирская городская	7484	7100	0	4147	1606	1347	1606	4147	76	5677	0	0	170	2.95	5128	89.14	201	3.49	178	3.09
Алтайский край	Славгородская городская	23855	23130	0	9241	2638	11251	2638	9240	226	11652	0	0	421	3.54	10126	85.25	385	3.24	720	6.06
Алтайский край	Смоленская	16128	17920	0	5048	4137	8735	4137	5048	156	9029	0	0	313	3.41	7814	85.07	315	3.43	587	6.39
Алтайский край	Советская	10249	12023	0	3973	2499	5551	2499	3973	99	6373	0	0	172	2.66	5494	84.89	284	4.39	423	6.54
Алтайский край	Солонешенская	5362	5820	0	1868	1507	2445	1507	1868	44	3331	0	0	84	2.49	2878	85.27	121	3.59	248	7.35
Алтайский край	Солтонская	4712	5300	0	1940	1161	2199	1161	1940	43	3058	0	0	99	3.19	2501	80.65	108	3.48	350	11.29
Алтайский край	Суетская	2567	2900	0	986	840	1074	840	986	35	1791	0	0	50	2.74	1550	84.88	80	4.38	111	6.08
Алтайский край	Табунская	5174	5240	0	2168	776	2296	776	2168	49	2895	0	0	125	4.25	2460	83.56	133	4.52	177	6.01
Алтайский край	Тальменская	26993	32000	0	10253	6251	15496	6251	10252	321	16182	0	0	563	3.41	14061	85.20	553	3.35	1005	6.09
Алтайский край	Тогульская	5049	5855	0	2057	1080	2718	1080	2057	43	3094	0	0	83	2.65	2681	85.46	100	3.19	230	7.33
Алтайский край	Топчихинская	14479	14600	0	6063	1675	6862	1675	6063	113	7625	0	0	215	2.78	6675	86.26	274	3.54	461	5.96
Алтайский край	Третьяковская	7841	8600	0	3218	2186	3196	2186	3217	81	5322	0	0	170	3.15	4610	85.32	192	3.55	350	6.48
Алтайский край	Троицкая	14943	15350	0	5639	3031	6680	3031	5638	175	8494	0	0	267	3.08	7374	85.06	287	3.31	566	6.53
Алтайский край	Тюменцевская 	8156	9925	0	3408	3083	3434	3083	3408	113	6378	0	0	168	2.59	5509	84.87	283	4.36	418	6.44
Алтайский край	Угловская	7294	6670	0	2949	1050	2671	1050	2949	41	3958	0	0	92	2.30	3353	83.85	134	3.35	379	9.48
Алтайский край	Усть-Калманская	9055	10350	0	3623	1720	5007	1720	3623	80	5263	0	0	162	3.03	4479	83.83	214	4.01	408	7.64
Алтайский край	Усть-Пристанская	7865	9303	34	2660	2410	4199	2444	2660	55	5049	0	0	150	2.94	4343	85.09	228	4.47	328	6.43
Алтайский край	Хабарская	9900	10000	0	4422	1420	4158	1420	4421	86	5755	0	0	196	3.36	4915	84.15	183	3.13	461	7.89
Алтайский край	Целинная	10003	11170	0	4806	1991	4373	1991	4806	140	6657	0	0	181	2.66	5734	84.36	248	3.65	494	7.27
Алтайский край	Чарышская	7327	8000	0	3309	1908	2783	1908	3309	99	5118	0	0	155	2.97	4349	83.36	209	4.01	405	7.76
Алтайский край	Шелаболихинская 	8221	10100	0	2833	2365	4902	2365	2833	93	5105	0	0	150	2.89	4394	84.53	182	3.50	379	7.29
Алтайский край	Шипуновская	18452	20900	0	7274	3737	9889	3737	7270	173	10834	0	0	269	2.44	9518	86.47	346	3.14	701	6.37
Алтайский край	Яровская городская	10194	10800	0	4725	1016	5059	1016	4725	109	5632	0	0	238	4.15	4808	83.75	172	2.99	414	7.21
Амурская область	Архаринского округа	10825	10700	0	5993	1964	2743	1964	5992	164	7792	0	0	274	3.44	6666	83.79	430	5.40	422	5.30
Амурская область	Белогорского округа	12022	12460	0	6200	2888	3372	2888	6200	117	8971	0	0	208	2.29	8137	89.54	238	2.62	388	4.27
Амурская область	Благовещенского округа	25457	25845	0	13824	4445	7576	4444	13823	244	18023	0	0	655	3.59	16200	88.68	598	3.27	570	3.12
Амурская область	Бурейского округа	16360	16995	0	9614	2646	4735	2646	9614	229	12031	0	0	391	3.19	10584	86.33	434	3.54	622	5.07
Амурская область	ЗАТО Циолковский	4183	4200	0	2905	473	822	473	2903	116	3260	0	0	184	5.45	2795	82.79	141	4.18	140	4.15
Амурская область	Завитинского округа	10872	9774	0	5561	1286	2927	1286	5560	158	6688	0	0	240	3.51	5713	83.45	261	3.81	474	6.92
Амурская область	Зейского округа	12843	13250	365	9678	2275	932	2640	9678	96	12222	0	0	108	0.88	11698	94.97	289	2.35	127	1.03
Амурская область	Ивановского округа	16853	17590	0	7991	4372	5227	4372	7976	205	12143	0	0	322	2.61	10821	87.63	645	5.22	355	2.87
Амурская область	Константиновского района	8720	9290	0	5755	657	2878	657	5754	137	6274	0	0	170	2.65	5588	87.16	201	3.14	315	4.91
Амурская область	Магдагачинского района	15762	15686	37	8495	2909	4245	2946	8495	289	11152	0	0	379	3.31	9760	85.31	509	4.45	504	4.41
Амурская область	Мазановского района	8103	8340	137	4188	1750	2265	1887	4188	99	5976	0	0	159	2.62	5353	88.12	177	2.91	287	4.72
Амурская область	Михайловского района	9052	9830	0	4506	2007	3317	2007	4506	123	6390	0	0	202	3.10	5601	85.99	195	2.99	392	6.02
Амурская область	Октябрьского района	12246	12000	0	7447	1774	2779	1774	7447	123	9098	0	0	279	3.03	8042	87.21	392	4.25	385	4.18
Амурская область	Ромненского округа	6092	6518	0	3203	1252	2063	1252	3203	65	4390	0	0	112	2.51	3937	88.37	135	3.03	206	4.62
Амурская область	Свободненского района	10438	9300	0	6435	2059	806	2059	6435	102	8392	0	0	220	2.59	7471	87.96	365	4.30	336	3.96
Амурская область	Селемджинского района	8350	8050	657	4678	741	1974	1398	4657	137	5918	0	0	260	4.29	4984	82.31	355	5.86	319	5.27
Амурская область	Серышевского округа	16077	16340	0	8634	3935	3771	3935	8634	204	12365	0	0	307	2.44	11005	87.56	524	4.17	529	4.21
Амурская область	Сковородинского округа	18963	18400	618	10908	4104	2770	4722	10905	299	15328	0	0	345	2.21	13802	88.32	691	4.42	490	3.14
Амурская область	Тамбовского округа	16709	17357	0	9832	1758	5767	1758	9831	186	11403	0	0	277	2.39	10321	89.06	332	2.86	473	4.08
Амурская область	Тындинского округа	10509	10955	2445	6095	782	1633	3227	6095	97	9225	0	0	151	1.62	8593	92.18	316	3.39	165	1.77
Амурская область	Шимановского округа	3376	3773	0	2213	741	819	741	2213	25	2929	0	0	56	1.90	2699	91.37	75	2.54	99	3.35
Амурская область	города Белогорск 	46563	41600	0	30505	2110	8985	2110	30504	631	31983	0	0	1281	3.93	28047	85.99	1180	3.62	1475	4.52
Амурская область	города Благовещенск	177552	161350	0	93200	36778	31372	36777	93178	2036	127919	0	0	6575	5.06	112077	86.24	4357	3.35	4910	3.78
Амурская область	города Зея	17341	16690	0	10601	2054	4035	2054	10601	267	12388	0	0	397	3.14	10939	86.44	605	4.78	447	3.53
Амурская область	города Райчихинск	15040	15750	0	6409	729	8612	729	6408	231	6906	0	0	281	3.94	5746	80.51	305	4.27	574	8.04
Амурская область	города Свободный	39176	37342	0	22665	6650	8027	6650	22656	592	28714	0	0	1148	3.92	25205	86.01	1292	4.41	1069	3.65
Амурская область	города Тында	24556	24290	0	13730	4254	6306	4254	13702	289	17667	0	0	617	3.44	15882	88.45	650	3.62	518	2.88
Амурская область	города Шимановск	13530	14000	0	7662	2688	3650	2688	7662	245	10105	0	0	296	2.86	9018	87.13	345	3.33	446	4.31
Амурская область	рабочего поселка (п.г.т.) Прогресс	9380	9030	0	4691	1972	2367	1972	4691	133	6530	0	0	187	2.81	5839	87.63	204	3.06	300	4.50
Архангельская область	Архангельск, Исакогорская 	20806	22900	0	9776	616	12508	616	9776	248	10144	0	0	665	6.40	8433	81.15	583	5.61	463	4.46
Архангельская область	Архангельск, Ломоносовская	43123	38260	0	24376	1103	12781	1103	24372	727	24748	0	0	3029	11.89	18859	74.03	1298	5.10	1562	6.13
Архангельская область	Архангельск, Октябрьская	55304	59596	0	32049	2383	25164	2383	32035	959	33459	0	0	3928	11.41	25606	74.40	1755	5.10	2170	6.30
Архангельская область	Архангельск, Соломбальская	48811	54738	0	24807	1446	28485	1446	24801	639	25608	0	0	2233	8.51	20407	77.75	1490	5.68	1478	5.63
Архангельская область	Архангельск, Южная	52433	59835	0	27622	1223	30990	1223	27620	761	28082	0	0	2494	8.65	22504	78.02	1535	5.32	1549	5.37
Архангельская область	Вельская	35366	35710	0	16736	4735	14239	4735	16736	438	21033	0	0	1313	6.12	17165	79.95	1341	6.25	1214	5.65
Архангельская область	Верхнетоемская	11128	13000	72	4646	1639	6643	1711	4645	99	6257	0	0	313	4.92	5110	80.40	428	6.73	406	6.39
Архангельская область	Вилегодская	7389	6900	0	3826	1145	1929	1145	3826	105	4866	0	0	288	5.79	3828	77.01	295	5.93	455	9.15
Архангельская область	Виноградовская	10611	11920	62	5425	1675	4758	1737	5425	129	7033	0	0	355	4.96	5917	82.62	389	5.43	372	5.19
Архангельская область	Каргопольская	12032	13970	0	6143	1096	6731	1096	6143	156	7083	0	0	368	5.08	5839	80.66	419	5.79	457	6.31
Архангельская область	Коношская	14394	16100	0	7379	1855	6866	1855	7363	155	9063	0	0	477	5.17	7464	80.97	618	6.70	504	5.47
Архангельская область	Коряжемская городская	24644	26500	0	13438	834	12228	834	13436	427	13843	0	0	1130	7.92	10827	75.87	1050	7.36	836	5.86
Архангельская область	Котласская	12747	13900	76	5926	1603	6295	1679	5926	157	7448	0	0	511	6.72	5893	77.49	470	6.18	574	7.55
Архангельская область	Котласская городская	48355	54500	0	26590	1992	25918	1992	26498	717	27773	0	0	2177	7.64	21987	77.17	1552	5.45	2057	7.22
Архангельская область	Красноборская	9157	9835	27	4528	1029	4251	1056	4527	98	5485	0	0	328	5.87	4337	77.68	429	7.68	391	7.00
Архангельская область	Ленская	8379	9640	0	4478	705	4457	705	4478	142	5041	0	0	350	6.75	3930	75.82	379	7.31	382	7.37
Архангельская область	Лешуконская	5462	4950	10	2472	491	1977	501	2471	34	2938	0	0	85	2.86	2570	86.47	137	4.61	146	4.91
Архангельская область	Мезенская	6619	8390	340	3336	743	3971	1083	3336	84	4335	0	0	213	4.82	3441	77.87	336	7.60	345	7.81
Архангельская область	Мирнинская городская	17496	16860	0	12801	315	3744	315	12800	226	12889	0	0	631	4.81	11229	85.62	572	4.36	457	3.48
Архангельская область	Новодвинская городская	25705	28700	0	15123	691	12886	691	15115	388	15418	0	0	1220	7.72	12375	78.29	1083	6.85	740	4.68
Архангельская область	Новоземельская	2016	2100	450	1558	0	92	450	1558	4	2004	0	0	22	1.10	1921	95.67	26	1.29	35	1.74
Архангельская область	Няндомская	18888	20770	0	9218	2173	9379	2173	9218	226	11165	0	0	603	5.29	9445	82.92	561	4.92	556	4.88
Архангельская область	Онежская	20669	23965	375	9552	1182	12856	1556	9543	229	10870	0	0	571	5.14	9090	81.90	615	5.54	594	5.35
Архангельская область	Пинежская	17093	20300	0	8983	1247	10070	1247	8983	153	10077	0	0	470	4.59	8455	82.65	554	5.42	598	5.85
Архангельская область	Плесецкая	26956	32400	479	14011	3671	14239	4150	14011	359	17802	0	0	750	4.13	14996	82.57	941	5.18	1115	6.14
Архангельская область	Приморская	20026	18400	318	10723	1694	5665	2012	10723	252	12483	0	0	905	7.11	10210	80.17	748	5.87	620	4.87
Архангельская область	Северодвинская городская № 1	63063	71303	0	41987	1304	28012	1304	41979	1007	42276	0	0	3409	7.88	33640	77.72	2637	6.09	2590	5.98
Архангельская область	Северодвинская городская № 2	60311	67450	0	38456	1386	27608	1386	38448	1113	38721	0	0	3191	8.01	30495	76.56	2944	7.39	2091	5.25
Архангельская область	Устьянская	19848	19600	439	10030	1994	7137	2432	10028	213	12247	0	0	714	5.73	10041	80.59	720	5.78	772	6.20
Архангельская область	Холмогорская	15937	15400	0	7736	2081	5583	2081	7735	178	9638	0	0	578	5.89	7871	80.19	556	5.66	633	6.45
Архангельская область	Шенкурская	10017	10400	199	4486	945	4770	1144	4486	100	5530	0	0	333	5.91	4559	80.98	369	6.55	269	4.78
Астраханская область	Астрахань, Cоветская	100968	98364	0	80421	5874	12069	5874	80400	769	85505	0	0	2903	3.36	72461	83.99	4707	5.46	5434	6.30
Астраханская область	Астрахань, Кировская	84503	80552	0	65875	7500	7177	7500	65845	2212	71133	0	0	2017	2.75	63088	86.02	2378	3.24	3650	4.98
Астраханская область	Астрахань, Ленинская	102697	97660	0	74734	13175	9751	13174	74639	697	87116	0	0	1235	1.41	77806	88.60	3787	4.31	4288	4.88
Астраханская область	Астрахань, Трусовская	75379	75159	0	58108	11218	5833	11205	58108	430	68883	0	0	780	1.13	63658	91.84	1733	2.50	2712	3.91
Астраханская область	Ахтубинская	47261	47610	0	23627	11622	12361	11622	23627	481	34768	0	0	1211	3.44	29626	84.05	1459	4.14	2472	7.01
Астраханская область	Володарская	30969	32059	0	14589	3612	13858	3612	14588	247	17953	0	0	437	2.40	16119	88.57	317	1.74	1080	5.93
Астраханская область	Енотаевская	17351	17560	0	11763	1979	3818	1979	11752	242	13489	0	0	275	2.00	12292	89.52	258	1.88	664	4.84
Астраханская область	Знаменская городская	19538	18000	0	12101	2662	3237	2662	12101	159	14604	0	0	632	4.28	12575	85.18	695	4.71	702	4.76
Астраханская область	Икрянинская	32145	32960	0	21206	6166	5588	6166	21206	249	27123	0	0	858	3.13	23512	85.90	1201	4.39	1552	5.67
Астраханская область	Камызякская	32568	33550	0	21790	5600	6160	5600	21790	109	27281	0	0	702	2.56	23036	84.10	1710	6.24	1833	6.69
Астраханская область	Красноярская	23771	23970	0	16927	3152	3891	3152	16926	429	19649	0	0	588	2.93	17499	87.16	439	2.19	1123	5.59
Астраханская область	Лиманская	21420	20215	0	15840	2833	1542	2833	15840	100	18573	0	0	235	1.26	16129	86.38	892	4.78	1317	7.05
Астраханская область	Наримановская	34335	34269	0	23480	6525	4264	6525	23477	123	29879	0	0	488	1.63	26988	89.95	728	2.43	1675	5.58
Астраханская область	Приволжская	41816	42812	0	27729	10292	4791	10292	27729	75	37946	0	0	643	1.69	34333	90.30	1102	2.90	1868	4.91
Астраханская область	Харабалинская	26635	27715	0	12806	8246	6663	8245	12806	233	20818	0	0	519	2.47	18665	88.67	435	2.07	1199	5.70
Астраханская область	Черноярская	12697	13207	0	7120	4260	1827	4260	7120	153	11227	0	0	159	1.40	10493	92.21	202	1.78	373	3.28
Белгородская область	Алексеевская	46092	49118	0	32152	11799	5167	11799	32152	76	43875	0	0	579	1.32	41517	94.46	625	1.42	1154	2.63
Белгородская область	Белгородская городская	233737	239921	0	125296	42918	71707	42917	125092	2231	165778	0	0	5285	3.15	150600	89.64	3665	2.18	6228	3.71
Белгородская область	Белгородская районная	117240	110865	62490	35808	8831	3736	71321	35808	748	106381	0	0	1553	1.45	101010	94.29	1463	1.37	2355	2.20
Белгородская область	Борисовская	17768	17762	13200	3536	187	839	13387	3536	74	16849	0	0	165	0.98	15425	91.15	195	1.15	1064	6.29
Белгородская область	Валуйская	44363	42931	34086	6835	572	1438	34658	6835	459	41034	0	0	743	1.79	37461	90.28	967	2.33	1863	4.49
Белгородская область	Вейделевская	13849	13166	3334	6837	2635	360	5969	6837	23	12783	0	0	130	1.02	11920	93.08	200	1.56	533	4.16
Белгородская область	Волоконовская	20164	23790	5639	11929	1931	4291	7570	11929	118	19381	0	0	129	0.66	18528	95.02	212	1.09	512	2.63
Белгородская область	Грайворонская	19133	20350	13644	2475	65	4166	13709	2475	118	16066	0	0	45	0.28	15038	92.92	312	1.93	671	4.15
Белгородская область	Губкинская	66423	78700	0	47469	10215	21016	10215	47466	352	57329	0	0	1226	2.13	50928	88.29	2059	3.57	3116	5.40
Белгородская область	Ивнянская	15010	17273	0	10133	3994	3146	3994	10133	90	14037	0	0	126	0.89	13413	94.95	164	1.16	334	2.36
Белгородская область	Корочанская	27162	28223	0	17582	7456	3185	7456	17582	452	24586	0	0	673	2.69	22135	88.41	655	2.62	1123	4.49
Белгородская область	Красненская	7724	7800	0	5135	2068	597	2068	5135	39	7164	0	0	70	0.97	6802	94.43	96	1.33	196	2.72
Белгородская область	Красногвардейская	24086	23800	0	16126	6506	1168	6506	16126	254	22378	0	0	488	2.16	20315	89.76	617	2.73	958	4.23
Белгородская область	Краснояружская	11129	11195	7397	3196	23	579	7420	3196	53	10563	0	0	90	0.85	10185	95.94	112	1.06	176	1.66
Белгородская область	Новооскольская	26817	27815	0	18757	6873	2185	6873	18754	86	25541	0	0	210	0.82	24272	94.71	362	1.41	697	2.72
Белгородская область	Прохоровская	17815	20600	0	11203	5407	3990	5407	11203	194	16416	0	0	313	1.88	15296	92.09	329	1.98	478	2.88
Белгородская область	Ракитянская	23002	24961	0	17133	4822	3006	4822	17133	204	21751	0	0	196	0.89	20396	92.90	319	1.45	840	3.83
Белгородская область	Ровеньская	15223	15260	1169	8510	3134	2447	4303	8510	195	12618	0	0	329	2.57	11076	86.44	401	3.13	812	6.34
Белгородская область	Старооскольская	177289	174557	0	123194	19617	31746	19606	123055	2584	140077	0	0	5369	3.76	123393	86.49	4324	3.03	6991	4.90
Белгородская область	Чернянская	20660	20653	0	16381	3476	796	3476	16381	56	19801	0	0	182	0.92	18808	94.72	282	1.42	529	2.66
Белгородская область	Шебекинская	61733	65720	32283	20261	4923	8253	37206	20260	754	56712	0	0	1362	2.37	50940	88.64	1915	3.33	2495	4.34
Белгородская область	Яковлевская	45087	45131	0	32434	8168	4529	8168	32434	295	40307	0	0	820	2.02	37015	91.17	986	2.43	1486	3.66
Брянская область	Брасовская	13923	14540	0	9289	3387	1864	3387	9215	104	12498	0	0	169	1.34	11639	92.36	186	1.48	504	3.99
Брянская область	Брянск, Бежицкая	123291	114400	0	91489	15160	7751	15160	91489	604	106045	0	0	1086	1.02	93346	87.53	7542	7.07	4071	3.82
Брянская область	Брянск, Володарская	57986	54800	0	44522	6569	3709	6569	44516	285	50800	0	0	372	0.73	45951	89.95	3358	6.57	1119	2.19
Брянская область	Брянск, Советская	105276	96655	0	80557	11026	5072	11026	80528	812	90742	0	0	1014	1.11	82404	90.01	3583	3.91	3741	4.09
Брянская область	Брянск, Фокинская	61740	59250	0	50309	3521	5420	3521	50307	186	53642	0	0	509	0.95	47905	88.99	1941	3.61	3287	6.11
Брянская область	Брянская	53747	53560	0	41506	5551	6503	5551	41506	177	46880	0	0	466	0.99	42990	91.36	1281	2.72	2143	4.55
Брянская область	Выгоничская	13297	12983	0	8397	3307	1279	3307	8397	189	11515	0	0	276	2.36	10434	89.15	284	2.43	521	4.45
Брянская область	Гордеевская	6782	7181	0	6005	613	563	613	6005	5	6613	0	0	40	0.60	6430	97.16	54	0.82	89	1.34
Брянская область	Дубровская	12172	12740	0	7790	2950	2000	2950	7790	104	10636	0	0	297	2.77	9339	86.96	396	3.69	604	5.62
Брянская область	Дятьковская	53627	52200	0	32295	13095	6810	13095	32295	297	45093	0	0	621	1.37	39979	88.08	1473	3.25	3020	6.65
Брянская область	Жирятинская	4483	4670	0	2800	1158	712	1158	2800	37	3921	0	0	110	2.78	3559	89.92	100	2.53	152	3.84
Брянская область	Жуковская	24589	23538	0	16276	3579	3683	3579	16276	347	19508	0	0	527	2.65	17495	88.11	450	2.27	1036	5.22
Брянская область	Злынковская	8236	8570	0	5143	2323	1104	2323	5143	120	7346	0	0	198	2.65	6763	90.58	152	2.04	233	3.12
Брянская область	Карачевская	24212	23378	0	15634	5054	2690	5054	15634	140	20548	0	0	618	2.99	18249	88.21	623	3.01	1058	5.11
Брянская область	Клетнянская	12856	13050	0	7481	3923	1646	3923	7481	50	11354	0	0	176	1.54	10273	90.08	280	2.46	625	5.48
Брянская область	Климовская	25198	26612	17667	4476	1440	3029	19107	4476	171	23412	0	0	573	2.43	21166	89.75	709	3.01	964	4.09
